satisfaction_level,last_evaluation_rating,projects_worked_on,average_montly_hours,time_spend_company,Attrition,Work_accident_False,Work_accident_True,promotion_last_5years_False,Department_IT,Department_RandD,Department_accounting,Department_hr,Department_management,Department_marketing,Department_product_mng,Department_sales,Department_support,Department_technical,salary_high,salary_low,salary_medium
0.31868131868131866,0.265625,0.16666666666666669,0.31696428571428564,0.20000000000000007,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0.7802197802197802,0.78125,0.6666666666666667,0.7857142857142856,0.8000000000000002,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0.021978021978021997,0.8125,1.0,0.8303571428571428,0.4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0.3076923076923077,0.25,0.16666666666666669,0.32589285714285715,0.20000000000000007,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0.3516483516483516,0.21875,0.16666666666666669,0.29910714285714285,0.20000000000000007,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0.010989010989010992,0.640625,0.8333333333333333,0.71875,0.4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0.9120879120879121,0.765625,0.6666666666666667,0.7723214285714284,0.6,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0.8791208791208792,1.0,0.6666666666666667,0.6160714285714284,0.6,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0.3626373626373627,0.265625,0.16666666666666669,0.24999999999999994,0.20000000000000007,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0.021978021978021997,0.703125,0.8333333333333333,0.9776785714285714,0.4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0.8241758241758242,0.875,0.49999999999999994,0.6607142857142856,0.6,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0.31868131868131866,0.28125,0.16666666666666669,0.25446428571428575,0.20000000000000007,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0.7362637362637362,0.828125,0.6666666666666667,0.7857142857142856,0.6,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0.021978021978021997,0.734375,0.8333333333333333,0.875,0.4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0.31868131868131866,0.296875,0.16666666666666669,0.27232142857142855,0.20000000000000007,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0.8791208791208792,0.875,0.6666666666666667,0.6964285714285714,0.6,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0.8021978021978021,0.796875,0.49999999999999994,0.6830357142857142,0.6,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0.34065934065934067,0.203125,0.16666666666666669,0.21874999999999994,0.20000000000000007,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0.3516483516483516,0.15625,0.16666666666666669,0.18749999999999994,0.20000000000000007,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.40625,0.8333333333333333,0.9285714285714284,0.4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0.34065934065934067,0.234375,0.16666666666666669,0.26339285714285715,0.20000000000000007,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
0.39560439560439564,0.296875,0.16666666666666669,0.24107142857142855,0.20000000000000007,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
0.8241758241758242,0.796875,0.49999999999999994,0.7142857142857142,0.8000000000000002,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
0.010989010989010992,0.90625,0.8333333333333333,0.7544642857142856,0.4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
0.39560439560439564,0.21875,0.16666666666666669,0.17857142857142855,0.20000000000000007,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
0.021978021978021997,0.828125,0.8333333333333333,0.982142857142857,0.4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
0.8571428571428571,0.8125,0.6666666666666667,0.8169642857142856,0.6,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
0.39560439560439564,0.1875,0.16666666666666669,0.32142857142857145,0.20000000000000007,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
0.34065934065934067,0.15625,0.16666666666666669,0.18303571428571425,0.20000000000000007,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
0.0,0.828125,0.8333333333333333,0.8482142857142856,0.4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
0.8241758241758242,0.59375,0.3333333333333333,0.42857142857142855,0.4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
0.34065934065934067,0.296875,0.16666666666666669,0.27232142857142855,0.20000000000000007,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
0.5274725274725275,0.53125,0.3333333333333333,0.8348214285714284,0.8000000000000002,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
